price,bedrooms,grade,has_basement,living_in_m2,renovated,nice_view,perfect_condition,real_bathrooms,has_lavatory,single_floor,month,quartile_zone
312000,2,2,TRUE,138.42547,FALSE,FALSE,FALSE,2,TRUE,FALSE,5,1
310000,2,2,FALSE,105.90942,FALSE,FALSE,FALSE,1,TRUE,FALSE,11,3
320000,2,2,FALSE,117.98681,FALSE,TRUE,FALSE,1,FALSE,TRUE,12,2
264500,2,3,FALSE,151.43189,FALSE,FALSE,FALSE,2,TRUE,TRUE,2,1
700000,3,2,TRUE,341.88304,FALSE,FALSE,FALSE,3,FALSE,FALSE,1,4
445000,1,2,TRUE,84.54173,FALSE,TRUE,FALSE,1,FALSE,TRUE,3,3
240500,2,2,TRUE,135.63838,FALSE,FALSE,FALSE,1,TRUE,TRUE,6,1
235000,1,1,FALSE,139.3545,FALSE,FALSE,FALSE,1,FALSE,TRUE,10,1
206000,2,2,FALSE,105.90942,FALSE,FALSE,FALSE,1,TRUE,TRUE,7,1
545000,2,3,FALSE,118.91584,FALSE,FALSE,FALSE,2,TRUE,FALSE,9,4
475000,3,5,TRUE,347.45722,FALSE,FALSE,FALSE,2,TRUE,TRUE,5,2
456000,3,3,TRUE,206.24466,FALSE,FALSE,FALSE,1,TRUE,TRUE,10,4
478000,2,2,TRUE,145.85771,FALSE,FALSE,FALSE,2,TRUE,TRUE,1,4
690000,3,4,FALSE,269.4187,FALSE,FALSE,FALSE,2,TRUE,FALSE,7,4
675000,3,4,FALSE,297.2896,FALSE,FALSE,FALSE,2,TRUE,FALSE,5,3
442500,2,2,TRUE,167.2254,FALSE,FALSE,FALSE,1,TRUE,TRUE,7,2
540000,3,3,TRUE,266.63161,FALSE,FALSE,FALSE,3,FALSE,FALSE,6,3
255000,3,2,TRUE,163.50928,FALSE,FALSE,FALSE,2,TRUE,TRUE,7,1
399950,2,2,TRUE,136.56741,FALSE,FALSE,FALSE,1,FALSE,TRUE,8,3
455000,3,2,TRUE,178.37376,FALSE,FALSE,FALSE,1,TRUE,TRUE,11,2
435000,1,2,TRUE,91.97397,FALSE,FALSE,FALSE,1,FALSE,TRUE,2,3
470000,3,3,FALSE,234.11556,FALSE,FALSE,FALSE,2,TRUE,FALSE,10,2
155000,1,1,FALSE,93.83203,FALSE,FALSE,FALSE,1,FALSE,FALSE,10,2
82000,2,1,FALSE,79.89658,FALSE,FALSE,FALSE,1,FALSE,TRUE,11,1
650000,3,4,FALSE,261.98646,FALSE,FALSE,FALSE,2,TRUE,FALSE,9,4
219950,1,1,FALSE,93.83203,TRUE,FALSE,FALSE,1,FALSE,FALSE,8,1
489000,1,2,TRUE,136.102895,FALSE,FALSE,FALSE,2,TRUE,FALSE,10,4
442500,3,2,FALSE,143.07062,FALSE,FALSE,TRUE,2,FALSE,FALSE,8,2
314950,2,2,FALSE,157.00607,FALSE,FALSE,FALSE,2,TRUE,FALSE,3,2
575000,1,3,TRUE,114.27069,FALSE,FALSE,FALSE,1,TRUE,TRUE,4,3
740000,3,3,TRUE,207.17369,FALSE,TRUE,FALSE,2,TRUE,FALSE,3,4
820000,2,3,TRUE,200.67048,FALSE,FALSE,FALSE,1,TRUE,TRUE,6,3
700000,2,4,FALSE,188.59309,FALSE,FALSE,FALSE,2,TRUE,FALSE,5,3
227000,2,1,FALSE,104.98039,FALSE,FALSE,FALSE,1,FALSE,TRUE,9,1
260000,3,3,FALSE,185.806,FALSE,FALSE,FALSE,2,TRUE,FALSE,6,1
208000,2,1,FALSE,97.54814999999999,FALSE,FALSE,TRUE,1,FALSE,TRUE,2,1
